"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"404","Reynolds Adolescent Depression Scale (RADS) ","","",0,"NA","NaN","192",0,"RADAR"
"405","Saliency importance of friends/Perception similarity friends (SA)",",friendship characteristics; friendship norms,peer relationships","1,1,1",2,"Social cognition and behavior,peer relationships,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,191",2,"RADAR"
"406","Saliva to assess DNA and DNA methylation","","",0,"Physiology,NA","1,0","2,192",2,"RADAR"
"407","School Performance (SV)","","",0,"NA","NaN","192",0,"RADAR"
"408","Screen for Child Anxiety Related Emotional Disorders (SCARED)","","",0,"NA","NaN","192",0,"RADAR"
"409","Self-concept Clarity Scale (SCC)","","",1,"identity,Personality,NA","0.67,0.33,0","1,1,191",1,"RADAR"
"410","Self-Efficacy in the Nurturing Role (SENR)",",beliefs,cognition,parent-child,parenting,parenting dimension,self-perceptions","1,1,1,1,1,1,1",2,"Parenting,Cognition,Social cognition and behavior,Mental health,Personality,NA","0.5,0.17,0.17,0.08,0.08,0","1,1,1,1,1,192",2,"RADAR"
"411","Behavioral Inhibition Scale/Behavioral Activation Scale (BIS/BAS)",",personality,social relationships,temperament,temperament; personality","1,1,1,1,1",2,"Personality,Social cognition and behavior,NA","0.83,0.17,0","2,1,192",2,"RADAR"
"412","Sexuality (SX)",",intimate relationships,romantic relationships,sexual relationships","1,1,1,1",1,"Social and emotional development,Personality,Life history,Lifestyle,NA","0.38,0.25,0.25,0.12,0","1,1,1,1,192",1,"RADAR"
"413","Stop Signal Task","executive functioning,impulse control,risk taking,temperament; self-control","1,1,1,1",2,"Personality,impulse control,NA","0.5,0.5,0","1,1,191",2,"RADAR"
"414","Strengths and Difficulties Questionnaire-Peer Relationships (SDQ-Peer)","adhd,aggression,anxiety,behavioral problems,depression,externalizing problem behavior,internalizing problem behavior,psychosocial adjustment,rule-breaking","1,1,1,1,1,1,1,1,1",1,"psychosocial adjustment,Social and emotional development,NA","0.67,0.33,0","1,1,191",1,"RADAR"
"415","Strengths and Difficulties Questionnaire-Prosocial (SDQ-Prosocial)","prosocial behavior,social functioning,social relationships","2,1,1",2,"Social and emotional development,Social cognition and behavior,NA","0.83,0.17,0","2,1,192",2,"RADAR"
"416","Substance Use (SU)",",drug use,externalizing behavior,substance use","1,1,1,1",2,"substance use,Mental health,Lifestyle,Physical health,NA","0.33,0.29,0.25,0.12,0","1,2,1,1,191",2,"RADAR"
"417","Substance Use during Pregnancy",",drug use,externalizing problems","1,1,1",1,"Physical health,Mental health,Lifestyle,NA","0.33,0.33,0.33,0","1,1,1,192",1,"RADAR"
"418","Temperament and Emotion Regulation (IBQ)","early personality characteristics,emotion regulation,temperament,temperament; personality","1,1,1,1",2,"Personality,Social and emotional development,NA","0.83,0.17,0","2,1,192",2,"RADAR"
"419","Temperament, Emotion Regulation, Impulsivity, Inhibitory Control (ECBQ-S, CBQ)","","",1,"Personality,NA","1,0","1,192",1,"RADAR"
"420","Time Spent with Others (TI)","adolescent peer relationships,depending on which relationship is assessed),friendships (etc,relationship quality; parent-child relationships","1,1,1,1",2,"Social and emotional development,relationship quality,Parenting,NA","0.67,0.25,0.08,0","2,1,1,191",2,"RADAR"
"421","Triangular Love Scale (TL)","intimacy,relationship quality,romantic relationship,young adulthood","1,1,1,1",1,"Social and emotional development,relationship quality,NA","0.67,0.33,0","1,1,191",1,"RADAR"
"422","Big Five (BF)","","",0,"NA","NaN","192",0,"RADAR"
"423","Utrecht-Management of Identity Committments Scale (U-MICS)",",adjustment,adolescent development,developmental tasks,identity,personal identity","1,1,1,1,1,1",1,"Social cognition and behavior,Social and emotional development,Personality,Lifestyle,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,192",1,"RADAR"
"424","Victimization (Slachtofferschap, SS)","","",1,"Social and emotional development,NA","1,0","1,192",1,"RADAR"
"425","Wechsler Intelligence Scale for Children (WISC)","children's intelligence,cognitive functioning,intelligence test","1,1,1",1,"cognitive functioning,NA","1,0","1,191",1,"RADAR"
"426","Workpresentation (WP)","adaptation,general functioning,social adjustment,social functioning","1,1,1,1",1,"Social cognition and behavior,Personality,Mental health,NA","0.5,0.33,0.17,0","1,1,1,192",1,"RADAR"
"427","Youth Self-Report (YSR) ","","",0,"NA","NaN","192",0,"RADAR"
"428","CHAOS Questionnaire","chaos,family climate,family organization,home environment,household characteristics,noise,structure","1,1,1,1,1,1,1",2,"household characteristics,home environment,Parenting,NA","0.5,0.33,0.17,0","1,1,1,190",2,"RADAR"
"429","Adolescent Social Connections and Coping during COVID-19 Questionnaire - Social connections and Prosocial Behavior","covid-19,prosocial behavior,social connections","1,1,1",1,"covid-19,Social and emotional development,Mental health,prosocial behavior,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,190",1,"LCID"
"430","Children's Behavior Questionnaire - Discomfort, Fear, Perceptual sensitivity","","",0,"NA","NaN","192",0,"LCID"
"431","Children's Behavior Questionnaire - Effortful control","behavioral regulation,effortful control,inhibitory control,parent report","1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,NA","0.33,0.33,0.33,0","1,1,1,192",1,"LCID"
"432","Competentiebelevingsschaal voor Adolescenten","","",0,"NA","NaN","192",0,"LCID"
"433","Confusion, Hubbub and Order Scale","home environment,environmental chaos,household chaos","2,1,1",2,"Lifestyle,environmental measures,NA","0.5,0.5,0","1,1,191",2,"LCID"
"434","COVID-19 Open Questions","","",2,"covid-19,pandemic,well-being,NA","0.5,0.33,0.17,0","1,1,1,189",2,"LCID"
"435","Dictator Game","","",0,"NA","NaN","192",0,"LCID"
"436","Dutch Reactive and Proactive aggression Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"437","Early Adolescent Temperament Questionnaire - Discomfort, Fear, Perceptual sensitivity","adolescence,discomfort,fearfulness,perceptual sensitivity,temperament","1,1,1,1,1",1,"Personality,NA","1,0","1,192",1,"LCID"
"438","Early Adolescent Temperament Questionnaire - Effortful control","effortful control,adolescence,attentional control,inhibitory control,temperament","2,1,1,1,1",2,"Social cognition and behavior,Personality,behavioral control,NA","0.67,0.17,0.17,0","2,1,1,191",2,"LCID"
"439","E-diary - Daily structure and activities of the children","","",0,"NA","NaN","192",0,"LCID"
"440","Alabama Parenting Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"441","EEG during the Face Processing Task","","",0,"NA","NaN","192",0,"LCID"
"442","Faces paradigm","","",0,"NA","NaN","192",0,"LCID"
"443","Family Assessment Device","communication,family functioning,family relationships,general functioning,parenting","1,1,1,1,1",2,"Parenting,Lifestyle,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,192",1,"LCID"
"444","Family Interaction Task","parent-child interaction,family dynamics","2,1",2,"Parenting,family interaction,NA","0.83,0.17,0","2,1,191",2,"LCID"
"445","Fear of Negative Evaluation",",child report,negative evaluation,sensitivity to evaluation,social anxiety","1,1,1,1,1",2,"Social cognition and behavior,Mental health,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,192",2,"LCID"
"446","Feeling and Thinking Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"447","Five-minute speech","","",0,"NA","NaN","192",0,"LCID"
"448","fMRI during the Self-concept Task","fmri,neuroimaging,self-concept","1,1,1",1,"Social cognition and behavior,Social and emotional development,neurobiology,NA","0.4,0.4,0.2,0","1,1,1,191",1,"LCID"
"449","Highly Sensitive Child Scale","child sensitivity,temperament","1,1",1,"Personality,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"450","Individual differences and preferences","individual differences,twins","1,1",1,"Personality,NA","1,0","1,192",1,"LCID"
"451","Attachment Script Assessment","attachment,parent-child relationship,secure base script","2,1,1",2,"Parenting,Social cognition and behavior,NA","0.83,0.17,0","2,1,192",2,"LCID"
"452","Interpersonal Reactivity Index","","",0,"NA","NaN","192",0,"LCID"
"453","Inventory of Callous-Unemotional Traits","antiscocial behavior,callous-unemotional traits,social behavior","1,1,1",1,"Social and emotional development,NA","1,0","1,192",1,"LCID"
"454","Investment Models Scale","","",1,"Mental health,Life history,NA","0.67,0.33,0","1,1,192",1,"LCID"
"455","Language Environment Analysis","environmental recording,lena","1,1",1,"environment,NA","1,0","1,191",1,"LCID"
"456","Musical Training Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"457","MyChild - Empathy","empathy,guilt,internalized conduct,prosocial behavior,social behavior","3,1,1,1,1",3,"Social and emotional development,Social cognition and behavior,prosocial behavior,NA","0.67,0.28,0.06,0","3,2,1,191",3,"LCID"
"458","MyChild - Guilt","child development,child report,conscience,guilt","1,1,1,1",2,"Social and emotional development,Social cognition and behavior,NA","0.75,0.25,0","2,1,192",2,"LCID"
"459","MyChild - Obedience","","",0,"NA","NaN","192",0,"LCID"
"460","Observation Evening meal","evening meal,natural environment,observation,parent-child interaction","1,1,1,1",1,"Parenting,family interaction,NA","0.67,0.33,0","1,1,191",1,"LCID"
"461","Olweus Bully/Victim Questionnaire","behavioral control,bullying,empathy,social competence,social development,victimization","1,1,1,1,1,1",2,"Social and emotional development,Mental health,Social cognition and behavior,Cognition,Personality,Parenting,NA","0.5,0.17,0.13,0.1,0.07,0.03,0","2,1,1,1,1,1,192",2,"LCID"
"462","Behavioral Inhibition and Activation System","behavioral drive,behavioral inhibition","1,1",1,"Social cognition and behavior,NA","1,0","1,192",1,"LCID"
"463","Pandemic Questionnaire ","","",0,"NA","NaN","192",0,"LCID"
"464","Parenting Attitudes Questionnaire","discipline,parent-child relationship,parental attitudes,parenting,parenting attitudes,self-report,sensitivity","1,1,1,1,1,1,1",2,"Parenting,NA","1,0","2,192",2,"LCID"
"465","Parenting Daily Hassles","parenting,daily hassles,parenting difficulties,self-report","2,1,1,1",2,"Parenting,Mental health,NA","0.83,0.17,0","2,1,192",2,"LCID"
"466","Parenting Practices Questionnaire - Warmth/involvement","parenting,involvement,parental warmth,parental affection,parental attention,parental involvement,parental sensitivity,self-report,warmth","3,2,2,1,1,1,1,1,1",3,"Parenting,NA","1,0","3,192",3,"LCID"
"467","Parenting Scale","parental aggression,parental laxness,parenting attitudes,parenting behavior","1,1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"468","Parenting Scale - Overreactivity","overreactivity,parenting,parental laxness,parental overreactivity,parenting behavior,self-report","2,2,1,1,1,1",3,"Parenting,NA","1,0","3,192",3,"LCID"
"469","Perceived Stress Scale","anxiety,perceived stress,stress","1,1,1",1,"Mental health,NA","1,0","1,192",1,"LCID"
"470","Pregnancy and Birth","","",0,"NA","NaN","192",0,"LCID"
"471","Previous Parenting Support","parenting,parenting support","1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"472","Purdue Home Stimulation Inventory - Observation, interview","home environment,household chaos","1,1",1,"Lifestyle,home environment,NA","0.67,0.33,0","1,1,191",1,"LCID"
"473","Brief Symptom Inventory","anxiety,depression,hostility,interpersonal sensitivity","1,1,1,1",1,"Mental health,NA","1,0","1,192",1,"LCID"
"474","Questionnaire home environment - Daily routines (Sleep, Eat, Care, Media, Work)","care,eating,media,routines,sleep,work","1,1,1,1,1,1",1,"Lifestyle,NA","1,0","1,192",1,"LCID"
"475","Questions about school-going of the twins","academic achievement,academic development,school","1,1,1",1,"Demographics,Cognition,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,192",1,"LCID"
"476","Sally-Ann Task","theory of mind,child development,observation,tom","2,1,1,1",2,"Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","2,1,192",2,"LCID"
"477","Self-concept Task","","",0,"NA","NaN","192",0,"LCID"
"478","Sensitive Discipline - Do","","",0,"NA","NaN","192",0,"LCID"
"479","Sensitive Discipline - Don't","observation,parent-child relationship,parental sensitive discipline,parentin,parenting,sensitive discipline,sensitive limit-setting","1,1,1,1,1,1,1",2,"Parenting,NA","1,0","2,192",2,"LCID"
"480","Sensitivity - Etch-a-Sketch","parent-child interaction,parental sensitivity,observed parenting,parent-child collaboration","2,2,1,1",2,"Parenting,parent-child interaction,observation,NA","0.67,0.17,0.17,0","2,1,1,190",2,"LCID"
"481","Sensitivity - Family game (Familygame_quartet en Familygame_roach)","free play,observation,parent-child relationship,sensitivity","1,1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"482","Sensitivity - Free play","parental sensitivity,parenting,sensitivity","1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"483","Sensorimotor synchronization","","",0,"NA","NaN","192",0,"LCID"
"484","Buitenschoolse activiteiten (out of school activities)","extracurricular activities,hobbies","1,1",1,"daily routines,Social cognition and behavior,NA","0.67,0.33,0","1,1,191",1,"LCID"
"485","Social Contact","","",0,"NA","NaN","192",0,"LCID"
"486","Social Media Questionnaire","self-report,social media","1,1",1,"NA","NaN","192",0,"LCID"
"487","Social Media Questionnaire","","",1,"Lifestyle,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"488","Social Wellbeing Questionnaire","social selfconcept,social wellbeing","1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"LCID"
"489","Strength and Difficulties Questionnaire","conduct problems,emotional problems,externalizing,hyperactivity,internalizing,peer problems,prosocial","1,1,1,1,1,1,1",1,"Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,192",1,"LCID"
"490","Temperament in Middle Childhood Questionnaire - Discomfort, Fear, Perceptual sensitivity","differential susceptibility,discomfort,fear,perceptual sensitivity,temperament","1,1,1,1,1",1,"Social cognition and behavior,Personality,NA","0.67,0.33,0","1,1,192",1,"LCID"
"491","Temperament in Middle Childhood Questionnaire - Effortful control","effortful control,middle childhood,temperament","1,1,1",1,"Personality,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"LCID"
"492","Twin Social Interaction / Etch-a-Sketch among twins","","",1,"Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"493","Twin Social Skills or Differences","individual differences,social competence,twins","1,1,1",1,"Personality,Social and emotional development,NA","0.5,0.5,0","1,1,192",1,"LCID"
"494","Visual Analogue Scale - Scanner related stress","scanner related stress,stress experience","1,1",1,"Mental health,neuroimaging,NA","0.67,0.33,0","1,1,191",1,"LCID"
"495","Cheating - Ball throwing","","",0,"NA","NaN","192",0,"LCID"
"496","Wildman items to screen for social desirability","","",1,"NA","NaN","192",0,"LCID"
"497","Cheating - Dog task","","",0,"NA","NaN","192",0,"LCID"
"498","Cheating - Word puzzle","behavioral control,cheating","1,1",1,"Social cognition and behavior,behavioral control,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,191",1,"LCID"
"499","ADHD symptoms (SWAN) questionnaire","adhd,attention deficit disorder,behavioral control,developmental psychopathology,hyperactivity,mental health,psychiatric symptoms,psychiatry,psychopathology,questionnaire","2,1,1,1,1,1,1,1,1,1",3,"Mental health,Social and emotional development,developmental disorder,questionnaire,NA","0.67,0.11,0.11,0.11,0","3,1,1,1,190",3,"YOUth"
"500","Brief Symptom Inventory (BSI)","health,medical,mental health,psychopathology,symptoms,wellbeing","1,1,1,1,1,1",2,"Mental health,Physical health,Social and emotional development,questionnaire,NA","0.61,0.17,0.11,0.11,0","3,1,1,1,191",3,"YOUth"
"501","Buccal","biological data,dna,epigenetics,oral mucosa","1,1,1,1",1,"Physiology,NA","1,0","1,192",1,"YOUth"
"502","Bullying behavior of/towards the child","ace adverse childhood experience,peers,questionnaire bullying,relationships,school,trust","1,1,1,1,1,1",1,"Social and emotional development,Social cognition and behavior,relationships,NA","0.5,0.33,0.17,0","1,1,1,191",1,"YOUth"
"503","Child Behavior Checklist (CBCL)","aandachtstekort/hyperactiviteitsproblemen,affectieve problemen,angstproblemen,cbcl,child behaviour,diagnostisch instrument,dsm-schalen,externaliserend,gedragsvragenlijst,internaliserend,mental development,oppositioneel- opstandige problemen,pervasieve ontwikkelingsproblemen,problem behavior child,problem behaviour,questionnaire,rapportage door ouders,skills of the child","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Social cognition and behavior,Social and emotional development,behavioural development,Mental health,NA","0.42,0.25,0.25,0.08,0","2,1,1,1,191",2,"YOUth"
"504","Child Gap Antisaccade","","",0,"NA","NaN","192",0,"YOUth"
"505","Child Gap Prosaccade","attention,visual attention,(saccadic) eye movements,attention shifting,behavioral control,behavioural control,central stimulus,eye-tracking,eye tracking,eyetracking,frontal lobe,gap-overlap task,gap task,gaze,peripheral stimulus,posner task,saccade,visual development,visual processing,visual system","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",4,"Cognition,Social cognition and behavior,Physiology,Social and emotional development,visual development,NA","0.29,0.29,0.25,0.08,0.08,0","3,2,2,1,1,191",4,"YOUth"
"506","Childhood Trauma Questionnaire (CTQ)","abuse,child,childhood,emotions,neglect,questionnaire,self-report,trauma,traumatic event,traumatic experience","1,1,1,1,1,1,1,1,1,1",1,"Life history,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,192",1,"YOUth"
"507","Child's report on parental behavior inventory (CRPBI)","","",0,"NA","NaN","192",0,"YOUth"
"508","Communicative Development Inventories (N-CDI) - Dutch","","",1,"language development,Cognition,NA","0.67,0.33,0","1,1,191",1,"YOUth"
"509","Competentie belevingsschaal - Adolescent (CBSA)","behavioral problems,self-identity,self-perception,social competence,,adolescent behavioral tendencies q.,adolescent daily life,adolescent emotional problems questionnaire,adolescent emotions,adolescent environment,adolescent lifestyle,adolescent school environment,adolescent self-perception,adolescent self-worth,adolescent skills,adolescent sports,adolescents,adolscent  social competence,adolscent self-identity,cbsa,competencies,emotion regulation,emotional problems,questionnaire,self-esteem,self-report,self-worth,skills,social skills","2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",4,"Social and emotional development,Personality,Mental health,Social cognition and behavior,Lifestyle,adolescent emotional development,NA","0.58,0.19,0.09,0.08,0.03,0.02,0","4,3,2,1,1,1,191",4,"YOUth"
"510","Gender Identity (GI) questionnaire","demographics,gender,gender development,identity","1,1,1,1",2,"Social cognition and behavior,Demographics,gender development,questionnaire,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,190",2,"YOUth"
"511","Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","parental support,responsiveness,affect,affection,behavior parents questionnare,cecpaq,discipline,early childhood,interactie met jong kind,opvoedgedrag ouders,opvoedklimaat,parental behavior,structure","2,2,1,1,1,1,1,1,1,1,1,1,1",2,"Parenting,Social and emotional development,opvoedgedrag,opvoedklimaat,Personality,ouder-kind interactie,NA","0.39,0.17,0.14,0.14,0.08,0.07,0","2,1,1,1,1,1,189",2,"YOUth"
"512","Cordblood","biological sample,dna,genetics,physiology","1,1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"YOUth"
"513","Cyberball","empathy,ostracism,prosocial behavior,social competence,social exclusion,social skills","1,1,1,1,1,1",1,"Social cognition and behavior,Personality,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,192",1,"YOUth"
"514","Daily care","avond routine,caretaking,dagritme,dagschema,daily care,ochtend routine,ritme,routine,slaap en waak ritme,slaap ritme,verzorging,voeding","1,1,1,1,1,1,1,1,1,1,1,1",1,"Parenting,Lifestyle,daily routine,NA","0.33,0.33,0.33,0","1,1,1,191",1,"YOUth"
"515","Demographics","background,demographics","1,1",1,"Demographics,NA","1,0","1,192",1,"YOUth"
"516","Diffusion Tensor Imaging (DTI)","mri,brain,brain tissue,imaging,brain anatomy,brain development,brain functions,brain image,brain scan,brain structure,central nervous system,diffusion weighted imaging,dti,dwi,interaction,microstructure,microstructure of brain,mri scan,myelin,neural axons,neural development,neural networks,scan,tissue,white matter","3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Physiology,neurology,Physical health,brain,brain structure,Mental health,the brain,imaging,NA","0.41,0.17,0.11,0.1,0.07,0.06,0.06,0.03,0","3,1,1,1,1,1,1,1,187",3,"YOUth"
"517","Discount (Delay Gratification)","behavioral control,delay gratification,inhibition,behavioural inhibition,cognitive control,coping,coping behavior,decision-making,delay of gratification,delayed gratification,effortful control,experiment,gift,marshmallow task,marshmellow task,paradigm,patience,pleasant,reward","2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",4,"Cognition,Social cognition and behavior,Social and emotional development,delay of gratification (paradigm),development of behavioral control,coping (behavior),Personality,behavioral control,cognitive development,Mental health,NA","0.26,0.12,0.12,0.12,0.08,0.08,0.06,0.06,0.04,0.03,0","2,1,2,1,1,1,1,1,1,1,187",4,"YOUth"
"518","Early adolescent temperament questionnaire - revised (EATQ-R)","personality,adolescents,coping,early adolescence,eatq-r,emotions,problem behavior,psychopathology,questionnaire,self-regulation,social competence,temperament,temperament questionnaire","2,1,1,1,1,1,1,1,1,1,1,1,1",3,"Personality,Mental health,Social and emotional development,Social cognition and behavior,coping,temperament,NA","0.5,0.22,0.12,0.09,0.04,0.02,0","3,2,2,1,1,1,190",3,"YOUth"
"519","Echo/3D Ultrasound","fetal brain development,prenatal brain development,second trimester,third trimester,ultrasound","1,1,1,1,1",1,"brain development,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,191",1,"YOUth"
"520","Edinburgh Postnatal Depression Scale (EPDS)","depression,baby blues,depressive symptoms,eerst 1000 dagen,emotionele gezondheid ouder,epds,hechting ouder-kind,kop (kinderen van ouders met psychische problemen),opvoedklimaat,ouder-kind interactie,parent,parenthood,parents,postnatal,postnatal depression,postnatale depressie,psychopathology,questionnaire,scale,self-report,symptoms","2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Mental health,Physical health,Parenting,postnatal,Physiology,Social and emotional development,questionnaire,NA","0.6,0.12,0.12,0.05,0.04,0.04,0.02,0","4,2,2,1,1,1,1,190",4,"YOUth"
"521","Adult Self Report (ASR)","psychopathology,adults,mental health","2,1,1",2,"Mental health,Personality,adulthood,Social and emotional development,questionnaire,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,190",2,"YOUth"
"522","EEG coherence","brain,eeg,neuroimaging,passive watching","1,1,1,1",1,"Physiology,brain activity,Cognition,Social cognition and behavior,Social and emotional development,NA","0.29,0.29,0.14,0.14,0.14,0","1,1,1,1,1,191",1,"YOUth"
"523","EEG Face Emotion","brain,eeg,emotion recognition,neuroimaging,social competence,task","1,1,1,1,1,1",1,"Physiology,brain activity,Social and emotional development,Social cognition and behavior,Cognition,NA","0.29,0.29,0.21,0.14,0.07,0","1,1,1,1,1,191",1,"YOUth"
"524","EEG Face House","face processing,eeg,neural processing,visual development","2,1,1,1",2,"Social cognition and behavior,visual processing development,Cognition,Physiology,neural processing,experiment,NA","0.27,0.25,0.17,0.12,0.12,0.06,0","2,1,1,1,1,1,189",2,"YOUth"
"525","Family illness - Medical & Psychiatric","health,psychiatric symptoms,children,family members,first-degree family,illness,medical history,medical symptoms,mental health,parents,physical health,problems,psychiatry,psychopathology,questionnaire,self-report,symptoms","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physical health,Mental health,Physiology,Life history,Demographics,Lifestyle,NA","0.37,0.33,0.1,0.1,0.07,0.03,0","2,2,1,1,1,1,192",2,"YOUth"
"526","Food Frequency Questionnaire (FFQ) - Pregnancy","diet pattern during pregnancy,eating,eating environment during pregnancy,ffq,food,food frequency,food intake during pregnancy,food lifestyle during pregnancy,meal composition during pregnancy,nutrition,pregnancy,pregnancy questionnaire,prenatal development","1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Lifestyle,Physical health,Physiology,NA","0.67,0.21,0.12,0","4,2,2,192",4,"YOUth"
"527","Food Frequency Questionnaire (FFQ) - Youth","","",0,"NA","NaN","192",0,"YOUth"
"528","Functional MRI Inhibition experiment","behavioral control,brain development,cognitive control,effortful control,imaging,inhibition,mri,neural develoment","1,1,1,1,1,1,1,1",1,"Cognition,behavioral control,Physiology,NA","0.4,0.4,0.2,0","1,1,1,191",1,"YOUth"
"529","General health","","",0,"NA","NaN","192",0,"YOUth"
"530","Hair","biological sample,cortisol,physiology,stress","1,1,1,1",1,"Physiology,Physical health,NA","0.83,0.17,0","2,1,192",2,"YOUth"
"531","Hand Game","behavioral control,inhibition,early childhood,hand gesture,non-verbal inhibitory control young children,self-regulation,the hand game,variation of luriaâ€™s hand game task","2,2,1,1,1,1,1,1",3,"Cognition,Social cognition and behavior,behavior,behavioral control,self-regulation,experiment,early childhood,NA","0.33,0.17,0.17,0.11,0.11,0.07,0.04,0","2,1,1,1,1,1,1,187",3,"YOUth"
"532","Ages and Stages Questionnaire - Social Emotional (ASQ-SE)","childhood,social-emotional development,social and emotional development","1,1,1",2,"Social and emotional development,childhood,questionnaire,NA","0.75,0.17,0.08,0","2,1,1,190",2,"YOUth"
"533","Infant Behavior Questionnaire Revised (IBQ-R)","infant,temperament,behavioral development,social emotional development","2,2,1,1",2,"Personality,temperament/personality,Social and emotional development,questionnaire,infancy,NA","0.33,0.25,0.17,0.17,0.08,0","1,1,1,1,1,189",2,"YOUth"
"534","Infant Face Popout","attention,eye tracking,face perception,face pop out,infancy,visual attention development,visual processing,visual search","1,1,1,1,1,1,1,1",2,"Cognition,Physiology,visual development,infancy,experiment,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,189",2,"YOUth"
"535","Infant Pro Gap","","",0,"NA","NaN","192",0,"YOUth"
"536","Infant Social Gaze","attention,social processing","1,1",1,"Physiology,Social cognition and behavior,attention,experiment,infancy,NA","0.25,0.25,0.25,0.12,0.12,0","1,1,1,1,1,189",1,"YOUth"
"537","Inhibition experiment (mock scanner)","fmri,inhibition,anticipation,behavioral control,bold,frontal lobe,functional mri,practice,stop process","2,2,1,1,1,1,1,1,1",2,"Cognition,brain functioning,brain development,Physiology,NA","0.58,0.17,0.17,0.08,0","2,1,1,1,190",2,"YOUth"
"538","Interpersonal Reactivity Index (IRI)","compassie,empathy,emphatic concern,fantasy,feelings,interpersonal reactivity index,iri,personal distress,perspective taking","1,1,1,1,1,1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,Lifestyle,NA","0.33,0.33,0.22,0.11,0","1,1,1,1,192",1,"YOUth"
"539","Labour and birth","birth,pregnancy,a term,apgar score,bevaltrauma,borstvoeding,childbirth,duration pregnancy,early child birth,keizersnede,labour questionnaire,mentale en lichamelijke gezondheid moeder en baby,prematuur,thuis of ziekenhuis bevalling","2,2,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,zwangerschap,pre en postnatale periode,NA","0.5,0.33,0.17,0","1,1,1,190",2,"YOUth"
"540","Length, head circumference, weight and vaccinations","growth,anthropometry,body meassures,body measures,medical data,medical information,medical questionnaire,physical characteristics,physical data,physical development,physical information,weight","2,1,1,1,1,1,1,1,1,1,1,1",5,"Physical health,Physiology,physical database,Lifestyle,physical growth/development,Parenting,NA","0.5,0.28,0.08,0.06,0.06,0.03,0","4,2,1,1,1,1,190",6,"YOUth"
"541","Lifestyle (DEMO, LFST).","lifestyle,questionnaire,addiction,adversity,alcohol,daily life,drugs,exposure,habits,health,illness,maternal health,medication use,pregnancy,prenatal development,prenatal exposure,problems,self-report,sickness,smoking,substance abuse","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Lifestyle,Physical health,Physiology,Mental health,NA","0.43,0.34,0.12,0.1,0","3,3,2,2,192",3,"YOUth"
